Country,Year,Pop_mill,Pop_male_mill,Pop_female_mill,Pop_0_14_per,Pop_60_plus_per,Pop_density,Surface_area_thou_km2
Malaysia,2015,31.07,15.95,15.12,25.2,9.2,94.6,330
Maldives,2015,0.44,0.25,0.19,22.9,5.9,1451.9,0
Mali,2015,18.11,9.15,8.96,48.1,4.1,14.8,1240
Malta,2015,0.46,0.23,0.23,13.7,24.7,1449.5,0
Marshall Islands,2015,0.05,0.03,0.02,37.4,5.1,274.5,0
Martinique,2015,0.38,0.18,0.21,18.1,24.3,361.8,1
Mauritania,2015,3.95,1.93,2.02,43.7,5.3,3.8,1031
Mauritius,2015,1.29,0.64,0.65,19.5,14.6,637,2
Mayotte,2015,0.25,0.12,0.13,43.9,4.4,665.5,
Mexico,2015,120.15,58.82,61.33,27.6,10.2,61.3,1964
Micronesia (Fed. States of),2015,0.11,0.06,0.05,33.1,7.2,156.4,1
Moldova,2015,3.28,1.56,1.72,18.2,17.7,99.7,34
Monaco,2015,0.04,0.02,0.02,12.1,41,24671.1,0
Mongolia,2015,2.96,1.47,1.49,29.3,6.1,1.9,1564
Montenegro,2015,0.63,0.31,0.32,18.5,20.2,45.9,14
Montserrat,2015,0.01,0,0,18.2,20,49.1,0
Morocco,2015,34.68,17.44,17.24,28,9.3,77.7,447
Mozambique,2015,26.84,13.13,13.71,45,4.2,34.1,799
Myanmar,2015,51.48,25.68,25.81,26.6,9,78.8,677
Namibia,2015,2.28,1.1,1.18,36.3,5.7,2.8,824
Nauru,2015,0.01,0.01,0.01,38.5,3.4,559.3,0
Nepal,2015,27.61,13.16,14.45,33.4,8.5,187.6,147
Netherlands,2015,17.04,8.45,8.59,16.6,24.1,506.1,42
New Caledonia,2015,0.28,0.14,0.14,24.1,12.6,15.5,19
New Zealand,2015,4.59,2.25,2.34,20,20,17.3,268
Nicaragua,2015,6.3,3.1,3.2,32.1,6.8,52.3,130
Niger,2015,20.13,10.2,9.93,49.1,3.9,15.9,1267
Nigeria,2015,184,92.8,91.19,44.3,4.8,202,924
Niue,2015,0,0,0,27,18.6,7.1,0
North Macedonia,2015,2.11,1.05,1.06,17.1,18.6,84.6,26
Northern Mariana Islands,2015,0.05,0.03,0.02,24.2,9.9,112.7,0
Norway,2015,5.19,2.61,2.58,18,21.9,17.1,386
Oman,2015,4.19,2.71,1.48,22.3,3.9,13.5,310
Other non-specified areas,2015,23.51,11.71,11.8,13.7,18.1,664,
Pakistan,2015,210.97,107.98,102.99,38.4,6,273.7,796
Palau,2015,0.02,0.01,0.01,20.6,12.2,38.7,0
Panama,2015,3.96,1.98,1.98,28,10.6,53.3,75
Papua New Guinea,2015,8.68,4.51,4.18,36.5,4.6,19.2,463
Paraguay,2015,6.18,3.11,3.07,30.5,8.2,15.3,407
Peru,2015,30.71,15.22,15.5,28.4,11.2,24,1285
Philippines,2015,103.03,52.19,50.84,32.6,7.4,343.4,300
Poland,2015,38.55,18.66,19.89,15,22.6,125.9,313
Portugal,2015,10.37,4.92,5.45,14.2,26.8,112.7,92
Puerto Rico,2015,3.5,1.67,1.83,16.7,24.3,402.4,9
Qatar,2015,2.41,1.82,0.6,13.9,2.2,208.4,12
Réunion,2015,0.92,0.45,0.48,25,14.8,369,3
Romania,2015,19.91,9.64,10.27,15.7,23.5,86.5,238
Russian Federation,2015,144.67,67.09,77.58,16.9,20,8.8,17098
Rwanda,2015,11.64,5.66,5.98,41.2,4.8,480.9,26
Saint Barthélemy,2015,0.01,0.01,0,16,13.5,438.3,
Saint Helena,2015,0.01,0,0,13.6,27.9,14.1,0
Saint Kitts and Nevis,2015,0.05,0.02,0.02,21.4,11.8,183.8,0
Saint Lucia,2015,0.18,0.09,0.09,20.6,11.9,285.1,1
Saint Martin (French part),2015,0.04,0.02,0.02,26.3,11.8,660.8,
Saint Pierre and Miquelon,2015,0.01,0,0,17.6,23.1,26,0
Saint Vincent & Grenadines,2015,0.11,0.05,0.05,23.6,13.5,273,0
Samoa,2015,0.2,0.1,0.1,38.4,7.2,71.9,3
San Marino,2015,0.03,0.02,0.02,14.9,24.1,550.3,0
Sao Tome and Principe,2015,0.2,0.1,0.1,42.3,5.2,209.5,1
Saudi Arabia,2015,32.75,18.77,13.98,27.5,4.1,15.2,2207
Senegal,2015,14.36,7.05,7.31,43.1,4.8,74.6,197
Serbia,2015,7.52,3.61,3.91,14.3,26.4,98,88
Seychelles,2015,0.1,0.05,0.05,23.3,10.2,217.2,0
Sierra Leone,2015,7.31,3.66,3.65,41.8,4.9,102,72
Singapore,2015,5.65,2.95,2.7,12.7,15.5,8272.4,1
Sint Maarten (Dutch part),2015,0.04,0.02,0.02,19.2,11.3,1182.5,0
